lat,lng,temp,humidity,wind_speed,cloud_cover,city_list,country,date
5.38,-52.95,82.17,73,12.06,88,sinnamary,GF,1588875271
-46.13,167.68,51.39,87,7.27,92,tuatapere,NZ,1588875271
64.75,177.48,28.17,86,8.95,90,anadyr,RU,1588875272
72.79,-56.15,19.6,91,7.72,80,upernavik,GL,1588875272
49.6,117.43,44.55,55,10.83,0,manzhouli,CN,1588875272
42.1,-79.24,54.86,37,17.22,75,jamestown,US,1588875008
28.66,-17.92,66.9,73,8.05,75,los llanos de aridane,ES,1588875194
69.22,-51.1,30.2,68,12.75,20,ilulissat,GL,1588875094
38.52,-28.7,60.8,93,17.22,75,ribeira grande,PT,1588875273
13.22,-59.52,86.0,62,23.04,40,bathsheba,BB,1588875273
-20.73,139.5,59.0,58,11.92,27,mount isa,AU,1588875274
-46.19,168.86,50.29,85,7.29,100,mataura,NZ,1588875274
73.51,80.55,9.43,93,6.53,100,dikson,RU,1588875275
42.75,-88.08,61.39,18,12.75,1,racine,US,1588875275
-19.98,57.61,75.0,91,3.0,17,cap malheureux,MU,1588875275
35.13,140.3,58.8,54,9.17,42,katsuura,JP,1588875276
22.08,-159.32,68.59,100,5.82,90,kapaa,US,1588875276
22.89,-109.91,83.23,39,8.05,5,cabo san lucas,MX,1588875086
-42.88,147.33,53.98,71,8.05,40,hobart,AU,1588875134
-0.6,73.08,84.58,77,14.99,39,hithadhoo,MV,1588875277
-25.24,130.99,55.4,43,4.7,0,yulara,AU,1588875278
27.98,-114.06,80.33,33,8.66,0,guerrero negro,MX,1588875280
-6.09,-35.21,86.0,62,12.75,20,nisia floresta,BR,1588875176
63.05,179.32,30.56,99,11.01,100,beringovskiy,RU,1588875280
60.06,71.48,59.36,58,4.61,51,salym,RU,1588875281
-23.12,-134.97,74.93,77,16.91,40,rikitea,PF,1588875282
-20.86,-46.39,66.67,86,4.9,100,alpinopolis,BR,1588875282
63.75,-68.51,30.09,58,13.87,75,iqaluit,CA,1588875282
52.63,29.73,44.98,78,10.92,75,svetlogorsk,BY,1588875283
16.78,101.24,78.46,79,3.06,100,lom sak,TH,1588875283
-34.42,19.23,61.0,91,5.41,100,hermanus,ZA,1588875284
-46.6,168.33,50.97,78,18.14,87,bluff,NZ,1588875284
-54.8,-68.3,44.6,81,5.82,100,ushuaia,AR,1588875285
-21.21,-159.78,71.6,100,1.12,39,avarua,CK,1588875285
11.14,123.72,84.61,77,10.98,23,sulangan,PH,1588875286
20.93,-17.03,69.8,73,25.28,0,nouadhibou,MR,1588875286
-11.1,-77.61,74.57,64,10.36,100,hualmay,PE,1588875287
19.73,-155.09,70.77,83,4.7,1,hilo,US,1588875288
13.3,19.7,89.78,16,0.27,19,oum hadjer,TD,1588875288
-33.65,115.33,54.01,98,11.63,56,busselton,AU,1588875288
66.0,111.5,14.0,72,11.18,100,aykhal,RU,1588875289
-33.59,26.89,64.0,93,1.99,100,port alfred,ZA,1588875289
69.38,178.42,21.27,85,2.15,8,leningradskiy,RU,1588875289
71.29,-156.79,8.6,84,14.99,90,barrow,US,1588875290
-17.89,-39.37,84.02,65,5.59,31,nova vicosa,BR,1588875054
-12.23,136.77,75.2,83,5.82,40,nhulunbuy,AU,1588875290
5.52,5.75,81.07,78,5.91,94,warri,NG,1588875291
-34.58,150.86,61.34,81,1.01,33,flinders,AU,1588875291
-38.27,141.97,52.02,93,9.66,33,codrington,AU,1588875292
50.31,34.9,50.5,77,3.13,37,okhtyrka,UA,1588875292
44.61,-79.42,39.88,89,3.0,63,orillia,CA,1588875179
40.84,8.4,66.85,77,17.22,1,porto torres,IT,1588875292
70.95,27.35,39.2,86,11.41,75,kjollefjord,NO,1588875293
60.92,-46.05,50.0,57,9.17,40,narsaq,GL,1588875293
-33.87,121.9,55.4,76,13.87,75,esperance,AU,1588875294
-4.13,104.17,75.65,96,2.48,99,baturaja,ID,1588875294
52.8,104.75,44.6,80,2.24,40,ust-ordynskiy,RU,1588875295
42.37,-71.18,61.92,21,6.93,75,watertown,US,1588875295
57.05,-135.33,53.6,50,14.99,20,sitka,US,1588875280
42.6,-73.97,63.46,13,3.0,5,albany,US,1588875296
0.08,-76.88,73.4,100,3.36,90,nueva loja,EC,1588875296
41.31,28.68,56.39,71,5.82,40,durusu,TR,1588875297
-2.54,-57.76,84.63,83,1.01,46,urucara,BR,1588875297
-15.2,12.15,84.6,45,6.49,0,namibe,AO,1588875297
-20.78,117.13,72.19,73,5.66,43,roebourne,AU,1588875298
40.56,65.69,71.6,56,9.17,100,nurota,UZ,1588875298
